"Bill of Material for "
"On 15.05.2017 at 21:35:58"

"Comment","Pattern","Quantity","Components"

"","ARK2","1","Z1",""
"ARK","ARK2","2","OUT1, OUT2",""
"BC547B","ONSC-TO-92-3-29-11","1","T1","Amplifier Transistor, NPN Silicon, 3-Pin TO-92, Bulk Box"
"Bridge1","D-38","1","M1","Full Wave Diode Bridge"
"BUV27","ONSC-TO-220-3-221A-09","1","T2","NPN Silicon Power Transistor, 3-Pin TO-220, Tube"
"Cap Pol1","CAPPR5-6.3x15","1","C4","Polarized Capacitor (Radial)"
"Cap Pol1","CAPPR7.5-16x20","1","C3","Polarized Capacitor (Radial)"
"Cap Semi","CAPR2.54-5.1x2.5","2","C1, C2","Capacitor (Semiconductor SIM Model)"
"Diode 159","SMC","1","D2","Default Diode"
"Diode 1N4001","DO-41","1","D3","1 Amp General Purpose Rectifier"
"Fuse 1","PIN-W2/E2.8","1","F1","Fuse"
"k","ARK2","1","Z2",""
"L200C","PentawattV","1","US1","Adjustable Voltage and Current Regulator, 5-Pin Pentawatt, Tube"
"LED0","LED-0","1","D1","Typical INFRARED GaAs LED"
"Plug AC Female","IEC7-2H3","1","J1","IEC Mains Power Outlet, EN60 320-2-2 F Class I, PC Flange Rear Mount, Chassis Socket"
"Res2","AXIAL-0.4","7","R1, R2, R3, R4, R5, R6, R9","Resistor"
"RPot","VR5","2","R7, R8","Potentiometer"
"SW-DPST","DPST-4","1","S1","Double-Pole, Single-Throw Switch"
"toggle_switch_3_mono","","1","SW1","Single 3-stage toggle switch"
"toggle_switch_3","","1","SW2","Dual 3-stage toggle switch"
"Trans Cupl","TRF_4","1","Tr1","Transformer (Coupled Inductor Model)"
"Woltomierz","","1","V1",""
